file,module,ruleId,ruleFamily,severity,count,autoFixability,lines,sampleMessages
"auth/src/routes/auth.ts","auth","@typescript-eslint/no-unused-vars","@typescript-eslint","error","1","no","6:27","'verifyAccessToken' is defined but never used."
"e2e/farm-layout-v023.spec.ts","e2e","@typescript-eslint/no-unused-vars","@typescript-eslint","error","1","no","151:88","'browserName' is defined but never used."
"e2e/farm-mobile-square.spec.ts","e2e","@typescript-eslint/no-unused-vars","@typescript-eslint","error","1","no","155:13","'errorCount' is assigned a value but never used."
"e2e/gene-lab.spec.ts","e2e","@typescript-eslint/no-unused-vars","@typescript-eslint","error","1","no","59:16","'activateDebugToolbar' is defined but never used."
"e2e/market-buy.spec.ts","e2e","@typescript-eslint/no-unused-vars","@typescript-eslint","error","1","no","128:16","'readFarmPlotCount' is defined but never used."
"e2e/market-sell.spec.ts","e2e","@typescript-eslint/no-unused-vars","@typescript-eslint","error","1","no","88:16","'goToFarm' is defined but never used."
"e2e/mutation.spec.ts","e2e","@typescript-eslint/no-unused-vars","@typescript-eslint","error","1","no","170:16","'markFarmInactiveForOfflineGrowth' is defined but never used."
"src/components/AchievementCelebration.tsx","src/components","react-hooks/rules-of-hooks","react-hooks","error","1","no","52:21","React Hook ""useMemo"" is called conditionally. React Hooks must be called in the exact same order in every component render. Did you accidentally call a React Hook after an early return?"
"src/components/AchievementsPage.tsx","src/components","react-hooks/set-state-in-effect","react-hooks","error","1","no","34:5","Error: Calling setState synchronously within an effect can trigger cascading renders Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes. Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect). /tmp/cosmelon-issue24/src/components/AchievementsPage.tsx:34:5 32 | 33 | useEffect(() => { > 34 | setImageError(false); | ^^^^^^^^^^^^^ Avoid calling setState() directly within an effect 35 | }, [def.id]); 36 | 37 | if (!unlocked) {"
"src/components/CodeInput.tsx","src/components","react-hooks/refs","react-hooks","error","1","no","63:34","Error: Cannot access refs during render React refs are values that are not needed for rendering. Refs should only be accessed outside of render, such as in event handlers or effects. Accessing a ref value (the `current` property) during render can cause your component not to update as expected (https://react.dev/reference/react/useRef). /tmp/cosmelon-issue24/src/components/CodeInput.tsx:63:34 61 | return ( 62 | <div className=""flex gap-2 justify-center""> > 63 | {Array.from({ length: 6 }, (_, i) => ( | ^^^^^^^^^^^ > 64 | <input | ^^^^^^^^^^^^^^ > 65 | key={i} … | ^^^^^^^^^^^^^^ > 89 | /> | ^^^^^^^^^^^^^^ > 90 | ))} | ^^^^^^^^ Cannot access ref value during render 91 | </div> 92 | ) 93 | }"
"src/components/farm-v2/FarmPlotTileV2.tsx","src/components","react-refresh/only-export-components","react-refresh","error","1","no","335:17","Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components."
"src/components/FarmPixiPhase0Prototype.tsx","src/components","react-hooks/exhaustive-deps","react-hooks","warning","1","no","417:18","The ref value 'mountRef.current' will likely have changed by the time this effect cleanup function runs. If this ref points to a node rendered by React, copy 'mountRef.current' to a variable inside the effect, and use that variable in the cleanup function."
"src/components/Guide.tsx","src/components","react-hooks/set-state-in-effect","react-hooks","error","1","no","91:23","Error: Calling setState synchronously within an effect can trigger cascading renders Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes. Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect). /tmp/cosmelon-issue24/src/components/Guide.tsx:91:23 89 | // External trigger 90 | useEffect(() => { > 91 | if (externalShow) setShowGuide(true); | ^^^^^^^^^^^^ Avoid calling setState() directly within an effect 92 | }, [externalShow]); 93 | 94 | const handleClose = () => {"
"src/components/HistoryPanel.tsx","src/components","react-hooks/purity","react-hooks","error","1","no","59:46","Error: Cannot call impure function during render `Date.now` is an impure function. Calling an impure function can produce unstable results that update unpredictably when the component happens to re-render. (https://react.dev/reference/rules/components-and-hooks-must-be-pure#components-and-hooks-must-be-idempotent). /tmp/cosmelon-issue24/src/components/HistoryPanel.tsx:59:46 57 | const selectedDateLabel = useMemo(() => { 58 | if (selectedDate === today) return t.today; > 59 | const yesterday = formatDateKey(new Date(Date.now() - 86400000)); | ^^^^^^^^^^ Cannot call impure function 60 | if (selectedDate === yesterday) return t.yesterday; 61 | const [, m, d] = selectedDate.split('-'); 62 | return t.dateFormat(parseInt(m), parseInt(d));"
